"surah","ayahs","occasion"
2,"89","عن ابن عباس رضي الله عنهما قال: (إن اليهود كانوا يستفتحون على الأوس والخزرج برسول الله ﷺ قبل مبعثه، فلما بعثه الله من العرب كفروا به، وجحدوا ما كانوا يقولون فيه.

فقال لهم معاذ بن جبل، وبشر بن المعرور: يا معشر اليهود، اتقوا الله وأسلموا، فقد كنتم تستفتحون علينا بمحمد ﷺ ونحن أهل شرك، وتخبروننا أنه مبعوث، وتصفونه لنا بصفته.

فقال سلام بن مشكم: ما جاءنا بشيء نعرفه، وما هو بالذي كنا نذكر لكم). فأنزل الله هذه الآية."
2,"89","ومن حديث عاصم بن عمر بن قتادة عن رجال من قومه قالوا: (إن مما دعانا إلى الإسلام، مَعَ رحمة الله تعالى وهُداهُ لنا، لما كنا نسمع من رجال يهود، وكنا أهلَ شِرك وأوثان، وكانوا أهل كتاب، عندهم علمٌ ليس لنا، وكانت لا تزال بيننا وبينهم شرور، فإذا نلنا منهم بعض ما يكرهون، قالوا لنا: إنه قد تقارب زمانُ نبيٍ يُبعثُ الآن نقتلكم معه قَتْلَ عادٍ وإرِم. فكنا كثيراً ما نسمع ذلكَ منهم، فلما بَعثَ الله رسوله ﷺ أجبناه، حين دعانا إلى الله تعالى وعرفنا ما كانوا يتوعدوننا به، فبادرناهم إليه، فآمنا به وكفروا به، ففينا وفيهم نَزل هؤلاء الآيات من البقرة: { وَلَمَّا جَآءَهُمْ كِتَـٰبٌ مِّنْ عِندِ ٱللَّهِ مُصَدِّقٌ لِّمَا مَعَهُمْ وَكَانُوا۟ مِن قَبْلُ يَسْتَفْتِحُونَ عَلَى ٱلَّذِينَ كَفَرُوا۟ فَلَمَّا جَآءَهُم مَّا عَرَفُوا۟ كَفَرُوا۟ بِهِۦ ۚ فَلَعْنَةُ ٱللَّهِ عَلَى ٱلْكَـٰفِرِينَ ﴿٨٩﴾ }."
2,"97","عن ابْنِ عَبَّاسٍ رضي الله عنهما ما قال: حَضَرَتْ عِصَابَةٌ مِنَ الْيَهُودِ نَبِيَّ اللهِ ﷺ يَوْماً، فَقَالُوا: يَا أَبَا القَاسِمِ، حَدِّثْنَا عَنْ خِلَالٍ نَسْأَلُكَ عَنْهُنَّ لَا يَعْلَمُهُنَّ إِلَّا نَبِيٌّ.
قَالَ: سَلُونِي عَمَّا شِئْتُمْ، وَلَكِنِ اجْعَلُوا لِي ذِمَّةَ اللهِ، وَمَا أَخَذَ يَعْقُوبُ عليه السلام عَلَى بَنِيهِ: لَئِنْ حَدَّثْتُكُمْ شَيْئاً فَعَرَفْتُمُوهُ، لَتُتَابِعُنِّي عَلَى الْإِسْلَامِ.
قَالُوا: فَذَلِكَ لَكَ، قَالَ: فَسَلُونِي عَمَّا شِئْتُم.
قَالُوا: أَخبِرْنَا عَنْ أَرْبَعِ خِلَالٍ نَسْأَلُكَ عَنْهُنَّ: أَخْبِرْنَا أَيُّ الطَّعَامِ حَرَّمَ إِسْرَائِيلُ عَلَى نَفْسِهِ مِنْ قَبْلِ أَن تُنَزَّلَ التَّوْرَاةُ! وَأَخْبِرْنَا كَيْفَ مَاءُ الْمَرْأَةِ، وَمَاءُ الرَّجُلِ، كَيْفَ يَكُونُ الذَّكَرُ مِنْهُ وَأَخْبِرْنَا كَيْفَ هَذَا النَّبِيُّ الْأُمِّيُّ فِي النَّوْمِ؟ وَمَنْ وَلِيُّهُ مِنَ الْمَلَائِكَةِ؟.
قَالَ: فَعَلَيْكُمْ عَهْدُ اللهِ وَمِيثَاقُهُ لَئِنْ أَنَا أَخْبَرْتُكُمْ لَتُتَابِعُنِّي ؟ قَالَ: فَأَعْطَوْهُ مَا شَاءَ مِنْ عَهْدٍ وَمِيثَاقِ. قَالَ: فَأَنْشُدُكُمْ بِالَّذِي أَنْزَلَ التَّوْرَاةَ عَلَى مُوسَى هَلْ تَعْلَمُونَ أَنَّ إِسْرَائِيلَ يَعْقُوبَ عليه السلام، مَرِضَ مَرَضاً شَدِيداً، وَطَالَ سَقَمُهُ، فَنَذَرَ للَّهِ نَذْراً لَئِنْ شَفَاهُ اللَُّه تَعَالَى مِنْ سَقَمِهِ، لَيُحَرِّمَنَّ أَحَبَّ الشَّرَابِ إِلَيْهِ، وَأَحَبَّ الطَّعَام إِلَيْهِ، وَكَانَ أَحَبَّ الطَّعَامِ إِلَيْهِ لُحْمَانُ الْإِبِلِ، وَأَحَبَّ الشَّرَابِ إِلَيْهِ أَلْبَانُهَا؟ قَالُوا: اللَّهُمَّ نَعَمْ.
 قَالَ: اللَّهُمَّ اشْهَدْ عَلَيْهِمْ، فَأَنْشُدُكُمْ بِاللّهِ الَّذِي لَا إِلَهَ إِلَّا هُوَ الَّذِي أَنْزَلَ التَّوْرَاةَ عَلَى مُوسَى، هَلْ تَعْلَمُونَ أَنَّ مَاءَ الرَّجُلِ أَبْيَضُ غَلِيظٌ، وَأَنَّ مَاءَ الْمَرْأَةِ أَصْفَرُ رَقِيقٌ، فَأَيُّهُمَا عَلَا كَانَ لَهُ الْوَلَدُ وَالشَّبَهُ بِإِذْنِ اللهِ، إِنْ عَلَا مَاءً الرَّجُلِ عَلَى مَاءِ الْمَرْأَةِ كَانَ ذَكَراً بِإِذْنِ اللهِ، وَإِنْ عَلَا مَاءُ الْمَرْأَةِ عَلَى مَاءِ الرَّجُلِ كَانَ أُنثَى بِإِذْنِ اللهِ ؟ قَالُوا: اللَّهُمَّ نَعَمْ.
قَالَ: اللَّهُمَّ اشْهَدْ عَلَيْهِمْ، فَأَنْشُدُكُمْ بِالَّذِي أَنْزَلَ التَّوْرَاةَ عَلَى مُوسَى هَلْ تَعْلَمُونَ أَنَّ هَذَا النَّبِيَّ الْأُمِّيَّ تَنَامُ عَيْنَاهُ وَلَا يَنَامُ قَلْبُهُ؟ قَالُوا: اللَّهُمَّ: نَعَمْ.
قَالَ: اللَّهُمَّ اشْهَدَ.
قَالُوا: وَأَنْتَ الْآنَ فَحَدِّثْنَا: مَنْ وَلِيُّكَ مِنَ المَلَائِكَةِ؟ فَعِنْدَهَا نُجَامِعُكَ أَوْ نُفَارِقُكَ.
قَالَ: فَإِن وَلِيْيَ جِبْرِيلُ عليه السلام، وَلَمْ يَبْعَثِ اللَّهُ نَبِيًّا قَطُّ إِلَّا وَهُوَ وَلِيُّهُ.
قَالُوا: فَعِنْدَهَا نُفَارِقُكَ، لَوْ كَانَ وَلِيكَ سِوَاهُ مِنَ الْمَلَائِكَةِ لَتَابَعْنَاكَ وَصَدَّقْنَاكَ. قَالَ: فَمَا يَمْنَعُكُمْ مِنْ أَنْ تُصَدِّقُوهُ؟ قَالُوا: إِنَّهُ عَدُونَا !
قَالَ: فَعِنْدَ ذَلِكَ قَالَ اللهُ عز و جل: { قُلْ مَن كَانَ عَدُوًّا لِّجِبْرِيلَ فَإِنَّهُۥ نَزَّلَهُۥ عَلَىٰ قَلْبِكَ بِإِذْنِ ٱللَّهِ } إِلَى قَوْلِهِ عز و جل { كِتَـٰبَ ٱللَّهِ وَرَآءَ ظُهُورِهِمْ كَأَنَّهُمْ لَا يَعْلَمُونَ } فَعِنْدَ ذَلِكَ { فَبَآءُو بِغَضَبٍ عَلَىٰ غَضَبٍ ۚ }الآية، [البقرة: ٩٠]."
2,"104","عن عطاء بن أبي رباح رحمه الله تعالى في قوله تعالى: { لَا تَقُولُوا۟ رَٰعِنَا } قال: كانت لغة في الأنصار في الجاهلية، فنزلت هذه الآية: { لَا تَقُولُوا۟ رَٰعِنَا وَقُولُوا۟ ٱنظُرْنَا... } إلى آخر الآية."
2,"113","عن ابن عباس رضي الله عنهما قال: لما قدم أهل نجران من النصاري على رسول الله ﷺ، أتتهم أحبار یهود، فتنازعوا عند رسول الله ﷺ، فقال رافع بن حُريملة: ما أنتم على شيء! وكفر بعيسى ابن مريم وبالإنجيل.
 فقال رجل من أهل نجران من النصارى ما أنتم على شيء! وجحد نبوة موسى، وكفر بالتوراة.
 فأنزل الله لك في ذلك من قولهما: { وَقَالَتِ ٱلْيَهُودُ لَيْسَتِ ٱلنَّصَٰرَىٰ عَلَىٰ شَىْءٍ وَقَالَتِ ٱلنَّصَٰرَىٰ لَيْسَتِ ٱلْيَهُودُ عَلَىٰ شَىْءٍ } إلى قوله: { فِيمَا كَانُوا۟ فِيهِ يَخْتَلِفُونَ }."
2,"115","عن جابر بن عبد الله رضي الله عنهما قال: بعث رسول الله ﷺ، سرية كنت فيها، فأصابتنا ظلمة فلم نعرف القبلة.
فقالت طائفة منا: قد عرفنا القبلة هي ها هنا قبل الشمال، فصلوا وخطوا خطوطاً، وقال بعضنا: القبلة ها هنا قبل الجنوب، وخطوا خطوطاً. فلما أصبحوا وطلعت الشمس، أصبحت تلك الخطوط لغير القبلة.
 فلما قفلنا من سفرنا سألنا النبي عن ذلك، فسكت، وأنزل الله عز و جل: { وَلِلَّهِ ٱلْمَشْرِقُ وَٱلْمَغْرِبُ ۚ فَأَيْنَمَا تُوَلُّوا۟ فَثَمَّ وَجْهُ } أي حيث كنتم."
2,"125","عَنْ أَنَسِ بْنِ مَالِكٍ رضي الله عنه قَالَ: قَالَ عُمَرُ بْنُ الْخَطَّابِ رضي الله عنه: وَافَقْتُ رَبِّي فِي ثَلَاثٍ، فَقُلْتُ: يَا رَسُولَ اللهِ، لَوِ اتَّخَذْنَا مِنْ مَقَامِ إِبْرَاهِيمَ مُصَلَّى، فَنَزَلَتْ { وَٱتَّخِذُوا۟ مِن مَّقَامِ إِبْرَٰهِـۧمَ مُصَلًّى ۖ }، وَآيَةُ الْحِجَابِ، قُلْتُ: يَا رَسُولَ اللهِ لَوْ أَمَرْتَ نِسَاءَكَ أَنْ يَحْتَجِبْنَ فَإِنَّهُ يُكَلِّمُهُنَّ الْبَرُّ وَالْفَاجِرُ، فَنَزَلَتْ آيَةُ الْحِجَابِ، وَاجْتَمَعَ نِسَاءُ النَّبِيِّ ﷺ فِي الْغَيْرَةِ عَلَيْهِ، فَقُلْتُ لَهُنَّ: { عَسَىٰ رَبُّهُۥٓ إِن طَلَّقَكُنَّ أَن يُبْدِلَهُۥٓ أَزْوَٰجًا خَيْرًا مِّنكُنَّ } [التحريم: ٥] فَنَزَلَتْ هَذِهِ الآية."
2,"125","عن أنس بن مالك رضي الله عنه قال: قال عمر بن الخطاب رضي الله عنه: ( وافقني ربي في ثلاث أو وافقت ربي في ثلاث قلت: يا رسول الله لو اتخذت من مقام إبراهيم مصلى، فنزلت { وَٱتَّخِذُوا۟ مِن مَّقَامِ إِبْرَٰهِـۧمَ مُصَلًّى ۖ }، وقلت: يا رسول الله لو حجبت النساء، فنزلت آية الحجاب، والثالثة لما مات عبد الله بن أُبَيِّ جاء رسول الله ﷺ ليصلي عليه، قلت: يا رسول الله تصلي على هذا الكافر المنافق. فقال: أيها عنك يا ابن الخطاب.
فنزلت { وَلَا تُصَلِّ عَلَىٰٓ أَحَدٍ مِّنْهُم مَّاتَ أَبَدًا وَلَا تَقُمْ عَلَىٰ قَبْرِهِۦٓ ۖ } [التوبة: ٨٤]."
2,"135","عن ابن عباس رضي الله عنهما قال: قال عبد الله بن صوريا الأعور لرسول الله ﷺ: ما الهدى إلا ما نحن عليه، فاتبعنا يا محمد تهتد. وقالت النصارى مثل ذلك، فأنزل الله عز و جل { وَقَالُوا۟ كُونُوا۟ هُودًا أَوْ نَصَـٰرَىٰ تَهْتَدُوا۟ ۗ }."
2,"142","جاء من حديث البَرَاءِ بْنِ عَازِبٍ رضي الله عنهما، قَالَ:
( كَانَ رَسُولُ اللهِ ﷺ صَلَّى نَحْوَ بَيْتِ المَقْدِسِ سِتَّةَ عَشَرَ أَوْ سَبْعَةَ عَشَرَ شَهْراً، وَكَانَ رَسُولُ اللهِ ﷺ يُحِبُّ أَنْ يُوَجَّهَ إِلَى الكَعْبَةِ، فَأَنْزَلَ اللهُ { قَدْ نَرَىٰ تَقَلُّبَ وَجْهِكَ فِى ٱلسَّمَآءِ ۖ }، فَتَوَجَّهَ نَحْوَ الكَعْبَةِ، وَقَالَ السُّفَهَاءُ مِنَ النَّاسِ وَهُمُ اليَهُودُ: { مَا وَلَّىٰهُمْ عَن قِبْلَتِهِمُ ٱلَّتِى كَانُوا۟ عَلَيْهَا ۚ قُل لِّلَّهِ ٱلْمَشْرِقُ وَٱلْمَغْرِبُ ۚ يَهْدِى مَن يَشَآءُ إِلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ }، فَصَلَّى مَعَ النَّبِيِّ ﷺ رَجُلٌ ثُمَّ خَرَجَ بَعْدَمَا صَلَّى، فَمَرَّ عَلَى قَوْمٍ مِنَ الأَنْصَارِ فِي صَلَاةِ العَصْرِ نَحْوَ بَيْتِ الْمَقْدِسِ، فَقَالَ: هُوَ يَشْهَدُ أَنَّهُ صَلَّى مَعَ رَسُولِ اللهِ ﷺ وَأَنَّهُ تَوَجَّهَ نَحْوَ الكَعْبَةِ، فَتَحَرَّفَ القَوْمُ حَتَّى تَوَجَّهُوا نَحْوَ الكَعْبَةِ )."
